name,recipe,recipe_source,amt_per_craft,sell_price,health,energy,buff,buff_duration
Fried Egg,Egg:1,Starter,1,35,22,50,,
Omelet,Egg:1;Milk:1,Watching The Queen of Sauce on day 28 of Spring in Year 1 or purchasing it from Gus for 100g,1,125,45,100,,
Salad,Leek:1;Dandelion:1;Vinegar:1,Receiving it in the mail after getting Emily up to 3+ hearts,1,110,50,113,,
Cheese Cauliflower,Cauliflower:1;Cheese:1,Receiving it in the mail after getting Pam up to 3+ hearts,1,300,62,138,,
Baked Fish,Sunfish:1;Bream:1;Wheat Flour:1,Watching The Queen of Sauce on day 7 of Summer in Year 1,1,100,33,75,,
Parsnip Soup,Parsnip:1;Milk:1;Vinegar:1,Receiving it in the mail after getting Caroline up to 3+ hearts,1,120,38,85,,
Vegetable Medley,Tomato:1;Beet:1,Receiving it in the mail after getting Caroline up to 7+ hearts,1,120,74,165,,
Complete Breakfast,Fried Egg:1;Milk:1;Hashbrowns:1;Pancakes:1,Watching The Queen of Sauce on day 21 of Spring in Year 2,1,350,90,200,Farming +2;Max Energy +50,7m
Fried Calamari,Squid:1;Wheat Flour:1;Oil:1,Receiving it in the mail after getting Jodi up to 3+ hearts,1,150,36,80,,
Strange Bun,Wheat Flour:1;Periwinkle:1;Void Mayonnaise:1,Receiving it in the mail after getting Shane up to 7+ hearts,1,225,45,100,,
Lucky Lunch,Sea Cucumber:1;Tortilla:1;Blue Jazz:1,Watching The Queen of Sauce on day 28 of Spring in Year 2,1,250,45,100,Luck +3,11m 11s
Fried Mushroom,Common Mushroom:1;Morel:1;Oil:1,Receiving it in the mail after getting Demetrius up to 3+ hearts,1,200,60,135,Attack +2,7m
Pizza,Wheat Flour:1;Tomato:1;Cheese:1,Watching The Queen of Sauce on day 7 of Spring in Year 2 or purchasing it from Gus for 100g,1,300,67,150,,
Bean Hotpot,Green Bean:2,Receiving it in the mail after getting Clint up to 7+ hearts,1,100,56,125,Max Energy +30;Magnetism +32,7m
Glazed Yams,Yam:1;Sugar:1,Watching The Queen of Sauce on day 21 of Fall in Year 1,1,200,90,200,,
Carp Surprise,Carp:4,Watching The Queen of Sauce on day 7 of Summer in Year 2,1,150,40,90,,
Hashbrowns,Potato:1;Oil:1,Watching The Queen of Sauce on day 14 of Spring in Year 2 or purchasing it from Gus for 100g,1,120,40,90,Farming +1,5m 35s
Pancakes,Wheat Flour:1;Egg:1,Watching The Queen of Sauce on day 14 of Summer in Year 1 or purchasing it from Gus for 100g,1,80,40,90,Foraging +2,11m 11s
