name,recipe,recipe_source,amt_per_craft
Mayonnaise Machine,Wood:15;Stone:15;Earth Crystal:1;Copper Bar:1,Reaching farming Level 2,
Bee House,Wood:40;Coal:8;Iron Bar:1;Maple Syrup:1,Reaching farming Level 3,
Preserves Jar,Wood:50;Stone:40;Coal:8,Reaching farming Level 4,
Cheese Press,Wood:45;Stone:45;Hardwood:10;Copper Bar:1,Reaching farming Level 6,
Loom,Wood:60;Fiber:30;Pine Tar:1,Reaching farming Level 7,
Keg,Wood:30;Copper Bar:1;Iron Bar:1;Oak Resin:1,Reaching farming Level 8,
Oil Maker,Slime:50;Hardwood:20;Gold Bar:1,Reaching farming Level 8,
Cask,Wood:20;Hardwood:1,Purchasing farmhouse cellar upgrade from Robin for 100000 gold,
Fish Smoker,Hardwood:10;Sea Jelly:1;River Jelly:1;Cave Jelly:1,Purchasing from Fish Shop for 10000 gold,
Dehydrator,Wood:30;Clay:2;Fire Quartz:1,Purchasing from Pierre for 10000 gold,
