name,recipe,recipe_source,amt_per_craft
Field Snack,Acorn:1;Maple Seed:1;Pine Cone:1,Reaching foraging level 1,
Bug Steak,Bug Meat:10,Reaching combat level 1,
Life Elixir,Red Mushroom:1;Purple Mushroom:1;Morel:1;Chanterelle:1,Reaching combat level 2,
Oil of Garlic,Garlic:10;Oil:1,Reaching combat level 6,
Monster Musk,Bat Wing:30;Slime:30,Completing the Wizard's special Order,
Fairy Dust,Diamond:1;Fairy Rose:1,Completing the Pirate's Wife Quest,
Warp Totem: Beach,Hardwood:1;Coral:2;Fiber:10,Reaching foraging level 6,
Warp Totem: Mountains,Hardwood:1;Iron Bar:1;Stone:25,Reaching foraging level 7,
Warp Totem: Farm,Hardwood:1;Honey:1;Fiber:20,Reaching foraging level 8,
Warp Totem: Desert,Hardwood:2;Coconut:1;Iridium Ore:4,Purchasing it from the Desert Trader for 10 Iridium Bars,
Warp Totem: Island,Hardwood:5;Dragon Tooth:1;Ginger:1,Purchasing it from the Volcano Dwarf shop for 10000 gold,
Rain Totem,Hardwood:1;Truffle Oil:1;Pine Tar:5,Reaching foraging level 9,
Treasure Totem,Hardwood:5;Mystic Syrup:1;Moss:10,Reaching foraging mastery,
