name,recipe,recipe_source,amt_per_craft
Torch,Wood:1;Sap:2,Starter,
Campfire,Stone:10;Wood:10;Fiber:10,Starter,
Wooden Brazier,Wood:10;Coal:1;Fiber:5,Purchasing it from Robin for 250 gold,
Stone Brazier,Stone:10;Coal:1;Fiber:5,Purchasing it from Robin for 400 gold,
Gold Brazier,Gold Bar:1;Coal:1;Fiber:5,Purchasing it from Robin for 1000 gold,
Carved Brazier,Hardwood:10;Coal:1,Purchasing it from Robin for 2000 gold,
Stump Brazier,Hardwood:5;Coal:1,Purchasing it from Robin for 800 gold,
Barrel Brazier,Wood:50;Solar Essence:1;Coal:1,Purchasing it from Robin for 800 gold,
Skull Brazier,Bone Fragment:10,Purchasing it from Robin for 3000 gold,
Marble Brazier,Marble:1;Aquamarine:1;Stone:100,Purchasing it from Robin for 5000 gold,
Wood Lamp-post,Wood:50;Battery Pack:1,Purchasing it from Robin for 500 gold,
Iron Lamp-post,Iron Bar:1;Battery Pack:1,Purchasing it from Robin for 1000 gold,
Jack-O-Lantern,Pumpkin:1;Torch:1,Purchasing it from Pierre's stand at Spirit's Eve Festival for 2000 gold,
