name,recipe,recipe_source,amt_per_craft
Charcoal Kiln,Wood:20;Copper Bar:2,Reaching foraging level 2,
Crystalarium,Stone:99;Gold Bar:5;Iridium Bar:2;Battery Pack:1,Reaching mining level 9,
Furnace,Copper Ore:20;Stone:25,Collecting 1+ copper ore,
Heavy Furnace,Furnace:2;Iron Bar:3;Stone:50,Reaching mining mastery,
Lightning Rod,Iron Bar:1;Refined Quartz:1;Bat Wing:5,Reaching foraging level 6,
Solar Panel,Refined Quartz:10;Iron Bar:5;Gold Bar:5,Completing Caroline's special order,
Recycling Machine,Wood:25;Stone:25;Iron Bar:1,Reaching fishing level 4,
Seed Maker,Wood:25;Coal:10;Gold Bar:1,Reaching farming level 9,
Slime Incubator,Iridium Bar:2;Slime:100,Reaching combat level 8,
Ostrich Incubator,Bone Fragment:50;Hardwood:50;Cinder Shard:20,Completing the Island Field Office Collection,
Slime Egg-Press,Coal:25;Fire Quartz:1;Battery Pack:1,Reaching combat level 6,
Tapper,Wood:40;Copper Bar:2,Reaching foraging level 4,
Heavy Tapper,Hardwood:30;Radioactive Bar:1,Purchasing it from Mr Qi for 20 Qi Gems,
Worm Bin,Hardwood:15;Gold Bar:1;Iron Bar:1;Fiber:50,Reaching fishing level 4,
Deluxe Worm Bin,Worm Bin:1;Moss:30,Reaching fishing level 8,
Bone Mill,Bone Fragment:10;Clay:3;Stone:20, Completing Gunther's special order,
Geode Crusher,Gold Bar:2;Stone:50;Diamond:1,Completing Clint's special order,
Mushroom Log,Hardwood:10;Moss:10,Reaching foraging level 4,
Bait Maker,Iron Bar:3;Coral:3;Sea Urchin:1,Reaching fishing level 6,
